"종목번호","종목명"
"005930","삼성전자"
"000660","SK하이닉스"
"005935","삼성전자우"
"005380","현대차"
"015760","한국전력"
"035420","NAVER"
"028260","삼성물산"
"005490","POSCO"
"012330","현대모비스"
"055550","신한지주"
"032830","삼성생명"
"105560","KB금융"
"051910","LG화학"
"017670","SK텔레콤"
"090430","아모레퍼시픽"
"034730","SK"
"096770","SK이노베이션"
"000270","기아차"
"011170","롯데케미칼"
"033780","KT&G"
"051900","LG생활건강"
"000810","삼성화재"
"068270","셀트리온"
"207940","삼성바이오로직스"
"003550","LG"
"034220","LG디스플레이"
"009540","현대중공업"
"086790","하나금융지주"
"018260","삼성에스디에스"
"002790","아모레G"
"066570","LG전자"
"010950","S-Oil"
"010130","고려아연"
"000030","우리은행"
"006400","삼성SDI"
"004020","현대제철"
"030200","KT"
"161390","한국타이어"
"035250","강원랜드"
"024110","기업은행"
"023530","롯데쇼핑"
"036570","엔씨소프트"
"021240","코웨이"
"047810","한국항공우주"
"006800","미래에셋대우"
"139480","이마트"
"086280","현대글로비스"
"088350","한화생명"
"035720","카카오"
"001040","CJ"
"032640","LG유플러스"
"009240","한샘"
"000720","현대건설"
"004800","효성"
"078930","GS"
"097950","CJ제일제당"
"018880","한온시스템"
"029780","삼성카드"
"027410","BGF리테일"
"009830","한화케미칼"
"036460","한국가스공사"
"005830","동부화재"
"009150","삼성전기"
"010140","삼성중공업"
"007070","GS리테일"
"001800","오리온"
"241560","두산밥캣"
"002380","KCC"
"000120","CJ대한통운"
"005387","현대차2우B"
"008930","한미사이언스"
"130960","CJ E&M"
"004990","롯데제과"
"012630","현대산업"
"005940","NH투자증권"
"012750","에스원"
"128940","한미약품"
"034020","두산중공업"
"047050","포스코대우"
"042660","대우조선해양"
"000210","대림산업"
"138930","BNK금융지주"
"001450","현대해상"
"088980","맥쿼리인프라"
"000880","한화"
"011780","금호석유"
"071050","한국금융지주"
"026960","동서"
"016360","삼성증권"
"086900","메디톡스"
"028050","삼성엔지니어링"
"011070","LG이노텍"
"051600","한전KPS"
"204320","만도"
"007310","오뚜기"
"005385","현대차우"
"012450","한화테크윈"
"030000","제일기획"
"069960","현대백화점"
"000100","유한양행"
"047040","대우건설"
"000150","두산"
"004370","농심"
"010060","OCI"
"036490","SK머티리얼즈"
"028670","팬오션"
"006360","GS건설"
"006260","LS"
"000670","영풍"
"003490","대한항공"
"016170","로엔"
"000240","한국타이어월드와이드"
"090435","아모레퍼시픽우"
"006650","대한유화"
"120110","코오롱인더"
"042670","두산인프라코어"
"005300","롯데칠성"
"008560","메리츠종금증권"
"064350","현대로템"
"139130","DGB금융지주"
"041960","코미팜"
"084990","바이로메드"
"008770","호텔신라"
"011210","현대위아"
"001440","대한전선"
"004170","신세계"
"006280","녹십자"
"079160","CJ CGV"
"002550","KB손해보험"
"000060","메리츠화재"
"001740","SK네트웍스"
"005440","현대그린푸드"
"079550","LIG넥스원"
"138040","메리츠금융지주"
"039490","키움증권"
"014820","동원시스템즈"
"005610","SPC삼립"
"006120","SK케미칼"
"017800","현대엘리베이"
"011200","현대상선"
"000080","하이트진로"
"161890","한국콜마"
"051915","LG화학우"
"003520","영진약품"
"003690","코리안리"
"002350","넥센타이어"
"057050","현대홈쇼핑"
"073240","금호타이어"
"010780","아이에스동서"
"056190","에스에프에이"
"010120","LS산전"
"001120","LG상사"
"192400","쿠쿠전자"
"003410","쌍용양회"
"192820","코스맥스"
"034230","파라다이스"
"103140","풍산"
"114090","GKL"
"111770","영원무역"
"010620","현대미포조선"
"028150","GS홈쇼핑"
"011790","SKC"
"001230","동국제강"
"006040","동원산업"
"214320","이노션"
"078340","컴투스"
"051905","LG생활건강우"
"003240","태광산업"
"145020","휴젤"
"082640","동양생명"
"003620","쌍용차"
"181710","NHN엔터테인먼트"
"035760","CJ오쇼핑"
"005250","녹십자홀딩스"
"039030","이오테크닉스"
"071840","롯데하이마트"
"145990","삼양사"
"240810","원익IPS"
"018670","SK가스"
"185750","종근당"
"052690","한전기술"
"180640","한진칼"
"105630","한세실업"
"000070","삼양홀딩스"
"096530","씨젠"
"108670","LG하우시스"
"008000","도레이케미칼"
"046890","서울반도체"
"002620","제일약품"
"020560","아시아나항공"
"001430","세아베스틸"
"175330","JB금융지주"
"014680","한솔케미칼"
"022100","포스코 ICT"
"001680","대상"
"036830","솔브레인"
"108230","톱텍"
"002270","롯데푸드"
"001060","JW중외제약"
"085620","미래에셋생명"
"069260","휴켐스"
"237690","에스티팜"
"039130","하나투어"
"069620","대웅제약"
"023590","다우기술"
"003000","부광약품"
"102940","코오롱생명과학"
"049770","동원F&B"
"048260","오스템임플란트"
"081660","휠라코리아"
"020000","한섬"
"004000","롯데정밀화학"
"009970","영원무역홀딩스"
"053210","스카이라이프"
"071320","지역난방공사"
"000990","동부하이텍"
"000640","동아쏘시오홀딩스"
"005850","에스엘"
"115390","락앤락"
"170900","동아에스티"
"025540","한국단자"
"002240","고려제강"
"214370","케어젠"
"037560","CJ헬로비전"
"034830","한국토지신탁"
"007570","일양약품"
"003670","포스코켐텍"
"100120","뷰웍스"
"019680","대교"
"006840","AK홀딩스"
"095700","제넥신"
"068760","셀트리온제약"
"089590","제주항공"
"192080","더블유게임즈"
"054620","AP시스템"
"226320","잇츠스킨"
"002020","코오롱"
"123890","한국자산신탁"
"001520","동양"
"003470","유안타증권"
"012510","더존비즈온"
"060980","한라홀딩스"
"034310","NICE"
"053800","안랩"
"033920","무학"
"064960","S&T모티브"
"093370","후성"
"005180","빙그레"
"215600","신라젠"
"009450","경동나비엔"
"093050","LF"
"000370","한화손해보험"
"007340","동아타이어"
"009420","한올바이오파마"
"085660","차바이오텍"
"003030","세아제강"
"098460","고영"
"005990","매일유업"
"058470","리노공업"
"006060","화승인더"
"000815","삼성화재우"
"091700","파트론"
"222040","뉴트리바이오텍"
"069080","웹젠"
"003540","대신증권"
"020150","일진머티리얼즈"
"237880","클리오"
